N,P,K,ph,crop
90,42.0,43.0,6.502985292000001,rice
85,58.0,41.0,7.038096361,rice
60,55.0,44.0,7.840207144,rice
74,35.0,40.0,6.980400905,rice
78,42.0,42.0,7.628472891,rice
69,37.0,42.0,7.073453503,rice
69,55.0,38.0,5.70080568,rice
94,53.0,40.0,5.718627177999999,rice
89,54.0,38.0,6.685346424,rice
68,58.0,38.0,6.336253525,rice
91,53.0,40.0,5.386167788,rice
90,46.0,42.0,7.50283396,rice
78,58.0,44.0,5.108681786,rice
93,56.0,36.0,6.98435366,rice
94,50.0,37.0,6.94801983,rice
60,48.0,39.0,7.042299068999999,rice
85,38.0,41.0,6.2490506560000005,rice
91,35.0,39.0,6.970859754,rice
77,38.0,36.0,5.953933276,rice
88,35.0,40.0,5.85393208,rice
89,45.0,36.0,6.442475375,rice
76,40.0,43.0,5.070175667,rice
67,59.0,41.0,6.012632591,rice
83,41.0,43.0,6.254028451,rice
98,47.0,37.0,7.375482851,rice
66,53.0,41.0,7.778915154,rice
97,59.0,43.0,6.2865001760000006,rice
97,50.0,41.0,7.070959995,rice
60,49.0,44.0,6.244841491,rice
84,51.0,35.0,6.043304899,rice
73,57.0,41.0,5.824709117,rice
92,35.0,40.0,6.3573893660000005,rice
85,37.0,39.0,6.364134967999999,rice
98,53.0,38.0,5.01450727,rice
88,54.0,44.0,6.149410611,rice
95,55.0,42.0,5.950660556,rice
99,57.0,35.0,5.960370061,rice
95,39.0,36.0,5.561398642,rice
60,43.0,44.0,7.416245107000001,rice
63,44.0,41.0,5.583370042,rice
62,42.0,36.0,6.430010215,rice
64,45.0,43.0,5.534878156,rice
83,60.0,36.0,6.903985986,rice
82,40.0,40.0,6.271478837999999,rice
85,52.0,45.0,7.224285503,rice
91,35.0,38.0,6.13428721,rice
76,49.0,42.0,5.206373153,rice
74,39.0,38.0,7.782051312999999,rice
79,43.0,39.0,7.062779015,rice
88,55.0,45.0,7.730367824,rice
60,36.0,43.0,5.286203711000001,rice
76,60.0,39.0,6.766240045,rice
93,56.0,42.0,7.382762603,rice
65,60.0,43.0,5.658169482000001,rice
95,52.0,36.0,5.543360237999999,rice
75,38.0,39.0,6.215109715,rice
74,54.0,38.0,7.120272972,rice
91,36.0,45.0,5.950647577000001,rice
71,46.0,40.0,7.236705436,rice
99,55.0,35.0,6.501697816,rice
72,40.0,38.0,7.592490617,rice
83,58.0,45.0,5.875345751,rice
93,58.0,38.0,6.932400225,rice
70,36.0,42.0,6.9462098810000015,rice
76,47.0,42.0,5.739175027000001,rice
99,41.0,36.0,6.738652179,rice
99,54.0,37.0,5.5948196260000005,rice
86,59.0,35.0,6.946636369,rice
69,46.0,41.0,5.012139669,rice
91,56.0,37.0,6.363472207999999,rice
61,52.0,41.0,6.880431223,rice
67,45.0,38.0,7.300410836,rice
79,42.0,37.0,6.587918707999999,rice
78,43.0,42.0,7.283736617000001,rice
75,54.0,36.0,7.023936392,rice
97,36.0,45.0,6.939083505,rice
67,47.0,44.0,7.868474653,rice
73,35.0,38.0,5.005306977,rice
77,36.0,37.0,6.136131869,rice
81,41.0,38.0,7.5240800760000015,rice
68,57.0,43.0,5.706943251,rice
72,45.0,35.0,5.758506323,rice
61,53.0,43.0,6.349606327,rice
67,43.0,39.0,5.9999690260000005,rice
67,58.0,39.0,5.453592032,rice
66,60.0,38.0,6.372576327000001,rice
82,43.0,38.0,5.105588355,rice
84,50.0,44.0,5.9353444060000005,rice
81,53.0,42.0,5.17782304,rice
91,50.0,40.0,6.462391607000001,rice
93,53.0,38.0,7.069172227,rice
90,44.0,38.0,7.473134377,rice
81,45.0,35.0,6.158376967000001,rice
78,40.0,38.0,7.549873681,rice
60,51.0,36.0,6.028321557999999,rice
88,46.0,42.0,6.604993475,rice
93,47.0,37.0,6.500343222000001,rice
60,55.0,45.0,5.935745417000001,rice
78,35.0,44.0,7.072655622,rice
65,37.0,40.0,5.333322606,rice
71,54.0,16.0,5.7499144210000015,maize
61,44.0,17.0,6.931756557999999,maize
80,43.0,16.0,6.657964753,maize
73,58.0,21.0,6.596060648,maize
61,38.0,20.0,5.970458434,maize
68,41.0,16.0,6.158830619,maize
93,41.0,17.0,6.047906679,maize
89,60.0,19.0,5.913664501,maize
76,44.0,17.0,5.855442401,maize
67,60.0,25.0,5.750254943,maize
70,44.0,19.0,5.852607099,maize
90,49.0,21.0,6.4725232870000005,maize
62,52.0,16.0,6.9670577620000005,maize
92,44.0,16.0,6.082973754,maize
66,54.0,21.0,5.919045532,maize
63,58.0,22.0,6.204747652999999,maize
70,47.0,17.0,6.600827017,maize
61,41.0,17.0,6.021902237000001,maize
66,53.0,19.0,6.033550195,maize
74,55.0,19.0,6.28886807,maize
77,57.0,21.0,6.550563822999999,maize
99,50.0,15.0,5.573286437,maize
74,56.0,22.0,6.829199275,maize
83,45.0,21.0,5.716222912,maize
100,48.0,16.0,5.54990242,maize
79,51.0,16.0,6.586244581,maize
94,39.0,18.0,5.893093135,maize
75,49.0,15.0,5.918263801,maize
78,48.0,22.0,5.588650585,maize
87,54.0,20.0,6.576418207000001,maize
87,35.0,25.0,6.178056304,maize
63,43.0,19.0,6.641906353,maize
84,57.0,25.0,6.489040367,maize
64,35.0,23.0,5.680361037999999,maize
60,46.0,22.0,6.625404347999999,maize
98,44.0,21.0,6.524478032,maize
75,56.0,18.0,5.696205468,maize
86,55.0,21.0,6.803931519,maize
98,35.0,18.0,6.252797547999999,maize
76,57.0,18.0,6.092725883,maize
99,56.0,17.0,6.234330356,maize
60,44.0,23.0,5.722579819,maize
74,48.0,17.0,6.430616465,maize
89,60.0,17.0,5.983952675,maize
69,51.0,23.0,6.80163854,maize
96,46.0,22.0,6.499936446,maize
61,60.0,15.0,6.265564338,maize
74,58.0,18.0,6.727303282,maize
74,43.0,23.0,6.325235159,maize
63,43.0,17.0,6.807487794,maize
99,36.0,20.0,6.671085817000001,maize
77,36.0,23.0,6.648725327,maize
87,60.0,23.0,6.439071996,maize
60,38.0,17.0,6.474476516,maize
94,54.0,17.0,5.871647806,maize
95,38.0,22.0,5.730617109,maize
84,44.0,21.0,5.850439831,maize
77,58.0,19.0,5.791649933,maize
66,44.0,20.0,6.740000687999999,maize
63,35.0,16.0,6.272417541,maize
79,45.0,20.0,5.715208817000001,maize
72,60.0,25.0,5.773454729,maize
67,51.0,24.0,5.584171461,maize
86,36.0,24.0,5.787268394,maize
76,48.0,18.0,5.77597783,maize
75,53.0,18.0,6.864793607,maize
81,45.0,23.0,6.192360002999999,maize
73,45.0,21.0,6.636803222999999,maize
71,35.0,24.0,5.826426917,maize
96,54.0,22.0,6.960358276,maize
99,39.0,18.0,6.11275104,maize
62,48.0,20.0,6.708446922,maize
86,37.0,16.0,5.561510732,maize
94,50.0,19.0,5.873242491,maize
76,39.0,24.0,6.995843776,maize
77,52.0,17.0,5.714799723,maize
74,39.0,23.0,6.78073637,maize
81,49.0,20.0,5.513697923,maize
63,42.0,21.0,5.798423907999999,maize
99,38.0,21.0,6.352471866,maize
90,52.0,25.0,6.822586546,maize
68,40.0,19.0,6.655426355,maize
60,57.0,24.0,6.1212940410000005,maize
71,52.0,18.0,5.790770202999999,maize
61,59.0,17.0,6.47444292,maize
88,38.0,15.0,6.455116637000001,maize
65,60.0,22.0,6.6069840860000015,maize
78,37.0,22.0,6.330554389,maize
78,58.0,15.0,6.5286312660000005,maize
92,60.0,23.0,5.721667141,maize
79,59.0,17.0,6.644205485,maize
91,55.0,15.0,6.376651091,maize
76,51.0,18.0,6.247040422,maize
87,48.0,25.0,6.656730007999999,maize
71,60.0,22.0,6.2048017,maize
90,57.0,24.0,6.158860284,maize
67,35.0,22.0,6.385684213999999,maize
60,54.0,19.0,6.417820493,maize
83,58.0,23.0,6.381201909,maize
83,57.0,19.0,6.877869005,maize
40,72.0,77.0,7.485996067,chickpea
23,72.0,84.0,6.920251378,chickpea
39,58.0,85.0,5.9969320370000005,chickpea
22,72.0,85.0,6.391173589,chickpea
36,67.0,77.0,7.152811172000001,chickpea
32,73.0,81.0,5.988992796000002,chickpea
58,70.0,84.0,6.231049027999999,chickpea
59,70.0,84.0,7.550808267000001,chickpea
42,62.0,75.0,7.010570541,chickpea
28,74.0,81.0,6.42504527,chickpea
58,66.0,79.0,6.42504527,chickpea
43,66.0,79.0,7.976607593,chickpea
58,63.0,81.0,6.515499548999999,chickpea
23,62.0,85.0,6.42504527,chickpea
27,62.0,77.0,6.576415562,chickpea
28,72.0,84.0,6.481783042999999,chickpea
50,56.0,76.0,7.966605025,chickpea
39,71.0,84.0,8.140825437,chickpea
25,78.0,76.0,7.228963452,chickpea
31,70.0,77.0,6.492546046,chickpea
26,80.0,83.0,7.528599957000001,chickpea
25,68.0,77.0,7.701446446,chickpea
31,78.0,76.0,6.42504527,chickpea
60,68.0,83.0,6.620900869,chickpea
59,62.0,83.0,8.104396057999999,chickpea
22,67.0,78.0,6.204090835,chickpea
36,65.0,80.0,6.051091339,chickpea
59,60.0,84.0,7.690962337999999,chickpea
54,77.0,85.0,7.8292111439999985,chickpea
43,68.0,81.0,6.761599706,chickpea
28,76.0,82.0,6.654425315,chickpea
42,79.0,85.0,6.129533877,chickpea
32,60.0,83.0,6.42504527,chickpea
22,78.0,76.0,6.42504527,chickpea
31,79.0,75.0,8.204862075,chickpea
28,58.0,81.0,6.18042747,chickpea
57,58.0,77.0,7.978996755,chickpea
49,55.0,78.0,7.863113671,chickpea
46,76.0,77.0,6.967843048,chickpea
54,61.0,77.0,6.206582192999999,chickpea
38,60.0,76.0,6.42504527,chickpea
59,55.0,79.0,6.42504527,chickpea
36,76.0,75.0,6.42504527,chickpea
57,68.0,81.0,8.081095263,chickpea
35,66.0,81.0,6.138243973,chickpea
35,64.0,78.0,7.496645259,chickpea
52,60.0,79.0,6.42504527,chickpea
27,76.0,83.0,6.289614016,chickpea
57,60.0,84.0,6.586777189,chickpea
52,68.0,78.0,6.89655198,chickpea
43,79.0,79.0,7.8067476560000015,chickpea
44,74.0,85.0,7.150681303,chickpea
24,55.0,78.0,6.64919573,chickpea
29,77.0,75.0,7.778591617999999,chickpea
20,60.0,78.0,6.358740355,chickpea
56,67.0,78.0,8.255450758,chickpea
37,66.0,85.0,6.456148474,chickpea
49,71.0,76.0,6.613072145,chickpea
59,69.0,80.0,8.165359297,chickpea
20,79.0,77.0,7.64867466,chickpea
24,56.0,85.0,6.545888558,chickpea
51,72.0,75.0,7.1042247970000005,chickpea
57,73.0,85.0,7.358099622,chickpea
22,64.0,82.0,6.4740245000000005,chickpea
52,73.0,79.0,7.840339388999999,chickpea
29,75.0,75.0,7.064790365,chickpea
44,59.0,78.0,7.599033472,chickpea
41,69.0,82.0,6.715587232000001,chickpea
52,56.0,85.0,6.81712422,chickpea
34,76.0,80.0,7.985417393,chickpea
42,74.0,83.0,7.545258424,chickpea
34,71.0,79.0,7.728998197,chickpea
27,73.0,79.0,7.354973451,chickpea
30,70.0,79.0,7.313122235,chickpea
57,57.0,75.0,7.785039076,chickpea
27,79.0,82.0,6.307004922999999,chickpea
32,71.0,85.0,6.4039823160000005,chickpea
31,76.0,82.0,7.599279991,chickpea
33,75.0,84.0,7.217018459,chickpea
47,80.0,77.0,7.561108006,chickpea
54,62.0,80.0,7.489545074,chickpea
47,79.0,78.0,6.609696734,chickpea
35,57.0,83.0,7.476800943,chickpea
53,73.0,77.0,7.325451279,chickpea
45,61.0,78.0,6.489389282,chickpea
37,78.0,79.0,7.786366322,chickpea
30,75.0,81.0,6.4084378860000015,chickpea
37,55.0,82.0,6.42504527,chickpea
53,65.0,76.0,6.42504527,chickpea
22,60.0,85.0,7.811997977000001,chickpea
60,61.0,78.0,6.317153205,chickpea
42,67.0,77.0,7.114405288,chickpea
39,76.0,76.0,8.135900726000001,chickpea
35,63.0,76.0,7.714153037999999,chickpea
30,65.0,82.0,7.103798069,chickpea
57,56.0,78.0,6.42504527,chickpea
48,65.0,78.0,7.861128148,chickpea
36,56.0,83.0,7.4526709,chickpea
40,58.0,75.0,7.168096055,chickpea
49,69.0,82.0,7.26311855,chickpea
13,60.0,25.0,5.68597166,kidneybeans
25,70.0,16.0,5.759237003,kidneybeans
31,55.0,22.0,5.873171894,kidneybeans
40,64.0,16.0,5.926676985,kidneybeans
2,61.0,20.0,5.95561668,kidneybeans
26,65.0,22.0,5.9499490810000015,kidneybeans
17,57.0,21.0,5.789214288999999,kidneybeans
26,80.0,18.0,5.581021521,kidneybeans
17,59.0,17.0,5.689858133,kidneybeans
27,59.0,22.0,5.794158503999999,kidneybeans
28,58.0,24.0,5.748190462999999,kidneybeans
25,57.0,19.0,5.566522896,kidneybeans
28,80.0,17.0,5.809419584,kidneybeans
25,60.0,22.0,5.887263027,kidneybeans
12,78.0,23.0,5.99812453,kidneybeans
6,77.0,25.0,5.792744849,kidneybeans
22,79.0,17.0,5.912289889,kidneybeans
27,80.0,15.0,5.7883869510000014,kidneybeans
10,55.0,23.0,5.728233081,kidneybeans
23,65.0,20.0,5.833940084,kidneybeans
19,78.0,16.0,5.967533236,kidneybeans
19,65.0,25.0,5.6250964460000015,kidneybeans
22,70.0,19.0,5.515615023,kidneybeans
37,64.0,22.0,5.954665349,kidneybeans
11,71.0,17.0,5.74644777,kidneybeans
18,79.0,20.0,5.877347515,kidneybeans
21,63.0,17.0,5.979973965,kidneybeans
24,80.0,22.0,5.635993966,kidneybeans
34,60.0,22.0,5.635231778,kidneybeans
16,75.0,21.0,5.679224346,kidneybeans
17,77.0,23.0,5.670062975,kidneybeans
37,72.0,18.0,5.724242065,kidneybeans
40,73.0,20.0,5.811314232000001,kidneybeans
9,77.0,17.0,5.783425416,kidneybeans
1,62.0,23.0,5.607808432000001,kidneybeans
33,59.0,22.0,5.946999529,kidneybeans
23,59.0,19.0,5.852046999,kidneybeans
6,62.0,22.0,5.824090984,kidneybeans
25,63.0,20.0,5.502999119,kidneybeans
7,79.0,23.0,5.821649914,kidneybeans
8,72.0,17.0,5.711439256,kidneybeans
27,64.0,15.0,5.514927264,kidneybeans
28,66.0,23.0,5.99616119,kidneybeans
32,57.0,18.0,5.695422862999999,kidneybeans
27,56.0,22.0,5.833010957999999,kidneybeans
17,77.0,24.0,5.568456899,kidneybeans
0,65.0,15.0,5.645435626,kidneybeans
13,72.0,21.0,5.821194486,kidneybeans
34,60.0,23.0,5.659254981,kidneybeans
9,80.0,19.0,5.945465949,kidneybeans
11,72.0,20.0,5.9511774520000005,kidneybeans
3,67.0,24.0,5.520880013999999,kidneybeans
35,69.0,23.0,5.578410206,kidneybeans
3,77.0,25.0,5.608165195,kidneybeans
23,62.0,19.0,5.609435127999999,kidneybeans
22,71.0,17.0,5.509295379,kidneybeans
31,79.0,25.0,5.902033406,kidneybeans
34,59.0,18.0,5.744117663,kidneybeans
12,63.0,17.0,5.717143397,kidneybeans
27,56.0,20.0,5.542690119,kidneybeans
7,63.0,24.0,5.858617867,kidneybeans
24,67.0,22.0,5.618844277000001,kidneybeans
11,71.0,24.0,5.6066203460000015,kidneybeans
37,74.0,15.0,5.582178402,kidneybeans
25,76.0,24.0,5.56503533,kidneybeans
34,66.0,17.0,5.889614577000001,kidneybeans
20,69.0,15.0,5.934136378,kidneybeans
37,65.0,16.0,5.683548308,kidneybeans
18,74.0,15.0,5.70836603,kidneybeans
4,67.0,25.0,5.948164454,kidneybeans
37,56.0,25.0,5.774755143999999,kidneybeans
5,59.0,15.0,5.97229163,kidneybeans
11,61.0,21.0,5.532100554,kidneybeans
22,80.0,20.0,5.669560726,kidneybeans
12,61.0,19.0,5.655726817000001,kidneybeans
5,74.0,21.0,5.591704013999999,kidneybeans
27,69.0,22.0,5.932323085,kidneybeans
31,75.0,18.0,5.824208308999999,kidneybeans
36,68.0,20.0,5.86442953,kidneybeans
5,65.0,16.0,5.866744372,kidneybeans
32,79.0,15.0,5.706198621,kidneybeans
11,78.0,22.0,5.940546818,kidneybeans
0,55.0,22.0,5.916779289,kidneybeans
14,59.0,15.0,5.779090476,kidneybeans
29,68.0,23.0,5.82738029,kidneybeans
32,68.0,19.0,5.514234138,kidneybeans
17,64.0,17.0,5.662699104,kidneybeans
13,69.0,19.0,5.86390397,kidneybeans
14,67.0,22.0,5.624690247999999,kidneybeans
9,69.0,20.0,5.591560999,kidneybeans
20,73.0,22.0,5.976312537999999,kidneybeans
40,78.0,20.0,5.669236258,kidneybeans
27,72.0,23.0,5.961934481,kidneybeans
14,67.0,15.0,5.690065688,kidneybeans
7,56.0,18.0,5.698371311,kidneybeans
27,65.0,18.0,5.59503163,kidneybeans
30,63.0,16.0,5.5259045260000015,kidneybeans
37,70.0,25.0,5.819403771,kidneybeans
27,63.0,19.0,5.562201934,kidneybeans
22,60.0,24.0,5.630664753,kidneybeans
3,72.0,24.0,6.03160778,pigeonpeas
40,59.0,23.0,5.269084669,pigeonpeas
33,73.0,23.0,5.985792703,pigeonpeas
27,57.0,24.0,6.09186275,pigeonpeas
10,79.0,18.0,5.624731337999999,pigeonpeas
30,75.0,25.0,6.446091759,pigeonpeas
40,70.0,20.0,5.623490042999999,pigeonpeas
38,55.0,19.0,5.864623352000001,pigeonpeas
35,58.0,20.0,5.761702519,pigeonpeas
38,61.0,21.0,4.696518678,pigeonpeas
33,58.0,24.0,5.269504214,pigeonpeas
16,56.0,17.0,7.445444882999999,pigeonpeas
31,72.0,17.0,5.833031707999999,pigeonpeas
16,80.0,20.0,7.3393209289999986,pigeonpeas
27,72.0,17.0,6.347929353,pigeonpeas
40,62.0,19.0,4.697750704,pigeonpeas
18,58.0,16.0,4.962661422,pigeonpeas
3,68.0,16.0,4.964887857,pigeonpeas
26,67.0,24.0,5.642813116,pigeonpeas
16,70.0,20.0,5.6093956,pigeonpeas
24,63.0,19.0,4.681576043,pigeonpeas
9,76.0,25.0,5.70951224,pigeonpeas
16,55.0,19.0,6.413543781,pigeonpeas
28,75.0,21.0,6.007508163,pigeonpeas
16,71.0,24.0,4.946369874,pigeonpeas
24,70.0,21.0,5.517208078,pigeonpeas
38,72.0,21.0,5.902103172,pigeonpeas
9,66.0,21.0,5.719889876,pigeonpeas
34,56.0,17.0,4.548202098,pigeonpeas
1,76.0,19.0,6.6695294160000005,pigeonpeas
6,69.0,19.0,4.7509292180000005,pigeonpeas
26,73.0,21.0,4.946263888,pigeonpeas
27,61.0,18.0,5.266227032,pigeonpeas
27,71.0,23.0,7.10959773,pigeonpeas
36,61.0,21.0,5.617008201,pigeonpeas
17,73.0,18.0,5.632353113,pigeonpeas
26,72.0,22.0,4.674941549,pigeonpeas
17,64.0,16.0,7.161797643,pigeonpeas
14,74.0,19.0,6.624966131,pigeonpeas
39,60.0,15.0,5.004074623999999,pigeonpeas
6,66.0,15.0,6.3458060110000005,pigeonpeas
8,59.0,18.0,6.216814453,pigeonpeas
2,67.0,18.0,5.921666758,pigeonpeas
1,76.0,17.0,6.012719118,pigeonpeas
16,73.0,19.0,4.684079249,pigeonpeas
23,75.0,25.0,7.077170002000001,pigeonpeas
32,70.0,20.0,6.208843215,pigeonpeas
28,59.0,22.0,7.05181629,pigeonpeas
5,62.0,23.0,4.722222454,pigeonpeas
36,67.0,25.0,6.418062652000001,pigeonpeas
1,66.0,23.0,4.803564468,pigeonpeas
24,73.0,20.0,4.608695247,pigeonpeas
17,67.0,18.0,5.611510977000001,pigeonpeas
5,55.0,18.0,7.322097972000001,pigeonpeas
5,56.0,24.0,5.023115055,pigeonpeas
37,77.0,17.0,5.617122801,pigeonpeas
13,73.0,20.0,5.391560417999999,pigeonpeas
6,63.0,23.0,5.906596905,pigeonpeas
16,77.0,22.0,6.574209678,pigeonpeas
25,64.0,20.0,4.807776748999999,pigeonpeas
34,75.0,24.0,4.760038038999999,pigeonpeas
20,77.0,23.0,5.180271502,pigeonpeas
35,80.0,25.0,4.895927306,pigeonpeas
14,75.0,24.0,6.436160044,pigeonpeas
36,80.0,21.0,7.066087261,pigeonpeas
7,77.0,18.0,6.655918077999999,pigeonpeas
29,78.0,25.0,5.982854522999999,pigeonpeas
30,60.0,21.0,5.457871272999999,pigeonpeas
20,74.0,16.0,4.759490199,pigeonpeas
19,57.0,23.0,7.342409555,pigeonpeas
3,60.0,19.0,4.820788186000001,pigeonpeas
5,77.0,19.0,6.242052013,pigeonpeas
5,68.0,20.0,5.001038726,pigeonpeas
37,73.0,21.0,5.560224582999999,pigeonpeas
9,59.0,24.0,4.747352458,pigeonpeas
20,72.0,15.0,7.313517308,pigeonpeas
31,56.0,23.0,5.661826398,pigeonpeas
0,70.0,21.0,4.672437054,pigeonpeas
21,74.0,15.0,6.471862118,pigeonpeas
13,67.0,18.0,5.384762927000001,pigeonpeas
27,74.0,20.0,5.8598134160000015,pigeonpeas
29,72.0,24.0,6.962386495,pigeonpeas
5,68.0,20.0,6.12166671,pigeonpeas
39,57.0,19.0,6.421748487,pigeonpeas
22,62.0,16.0,4.828936119,pigeonpeas
18,55.0,23.0,6.98571967,pigeonpeas
39,77.0,21.0,4.603563116,pigeonpeas
13,75.0,20.0,6.979540061,pigeonpeas
27,71.0,24.0,7.064973419,pigeonpeas
26,64.0,22.0,5.16516459,pigeonpeas
23,55.0,16.0,5.111488821,pigeonpeas
4,69.0,19.0,5.374358869,pigeonpeas
20,67.0,19.0,5.671419084,pigeonpeas
7,74.0,17.0,5.667419697000001,pigeonpeas
17,64.0,18.0,6.07938452,pigeonpeas
35,71.0,17.0,6.931924962999999,pigeonpeas
11,72.0,22.0,6.842744374,pigeonpeas
20,60.0,22.0,6.876572502999999,pigeonpeas
10,71.0,18.0,6.151029296,pigeonpeas
33,61.0,24.0,4.567446499,pigeonpeas
3,49.0,18.0,6.42504527,mothbeans
22,59.0,23.0,6.42504527,mothbeans
36,58.0,25.0,6.42504527,mothbeans
4,43.0,18.0,6.42504527,mothbeans
29,54.0,16.0,8.153022903,mothbeans
32,43.0,22.0,5.270749441,mothbeans
14,55.0,15.0,8.050304395,mothbeans
5,35.0,20.0,6.42504527,mothbeans
25,57.0,24.0,6.974978386,mothbeans
11,53.0,24.0,7.39389918,mothbeans
40,49.0,17.0,6.68727523,mothbeans
38,56.0,25.0,7.88118645,mothbeans
27,43.0,23.0,5.875333778,mothbeans
24,38.0,22.0,8.202706015,mothbeans
23,45.0,21.0,6.42504527,mothbeans
29,57.0,20.0,5.87707519,mothbeans
31,35.0,23.0,7.707595055,mothbeans
0,55.0,25.0,6.42504527,mothbeans
7,45.0,22.0,6.42504527,mothbeans
17,58.0,25.0,6.455592696,mothbeans
11,44.0,17.0,8.016210782,mothbeans
22,49.0,22.0,6.42504527,mothbeans
9,51.0,19.0,5.49091063,mothbeans
28,48.0,15.0,6.42504527,mothbeans
26,50.0,19.0,6.005242945,mothbeans
36,56.0,20.0,7.437078236,mothbeans
8,60.0,18.0,6.42504527,mothbeans
24,37.0,21.0,5.818219385,mothbeans
22,43.0,24.0,6.42504527,mothbeans
36,43.0,24.0,6.42504527,mothbeans
22,44.0,24.0,6.030447288,mothbeans
17,43.0,22.0,5.498340807999999,mothbeans
8,45.0,15.0,4.61136408,mothbeans
7,56.0,23.0,5.545219232000001,mothbeans
36,57.0,16.0,8.292875733999999,mothbeans
11,45.0,19.0,6.42504527,mothbeans
6,36.0,22.0,6.42504527,mothbeans
17,57.0,20.0,6.42504527,mothbeans
4,47.0,20.0,6.42504527,mothbeans
9,49.0,16.0,7.661537347999999,mothbeans
25,51.0,24.0,6.42504527,mothbeans
36,44.0,21.0,6.42504527,mothbeans
21,38.0,20.0,5.794289715,mothbeans
